id,domain,last_scraped_at,ats,job_metadata
"149153","kraftkennedy.com","2024-03-06 09:46:00.464+00","linkedin","{""jobCount"": ""4"", ""officeLocations"": null, ""officeLocationType"": {""hybrid"": ""1"", ""remote"": ""3""}, ""remoteOfficeLocations"": [""washington dc-baltimore area"", ""new york city metropolitan area"", ""houston, tx""]}"
"247111","wing.com","2024-03-05 18:55:59.711+00","linkedin","{""jobCount"": ""10"", ""officeLocations"": null, ""officeLocationType"": {""remote"": ""1"", ""on-site"": ""9""}, ""remoteOfficeLocations"": [""palo alto, ca""]}"
"250648","investmtech.com","2024-03-05 19:22:06.251+00","linkedin","{""jobCount"": ""5"", ""officeLocationType"": {""hybrid"": ""2"", ""remote"": ""3""}}"
"240669","cvrconnect.com","2024-03-06 09:22:30.277+00","linkedin","{""jobCount"": ""1"", ""officeLocationType"": {""remote"": ""1""}}"
"330511","1touch.io","2024-03-06 09:18:36.574+00","linkedin","{""jobCount"": ""1"", ""officeLocationType"": {""remote"": ""1""}}"
"135884","pingdom.com","2024-02-26 11:57:49.76+00","linkedin","{""jobCount"": ""107"", ""officeLocationType"": {""hybrid"": ""17"", ""remote"": ""8"", ""on-site"": ""82""}}"
"143746","adlumin.com","2024-02-26 07:52:41.339+00","linkedin","{""jobCount"": ""1"", ""officeLocationType"": {""remote"": ""1""}}"
"286687","kerith.net","2024-03-05 22:46:22.98+00","linkedin","{""jobCount"": ""2"", ""officeLocationType"": {""remote"": ""2""}}"
"129236","swile.co","2024-03-18 22:31:43.529+00","linkedin","{""id"": 129236, ""jobCount"": 37, ""officeLocations"": null, ""officeLocationType"": {""hybrid"": 14, ""remote"": 9, ""on-site"": 14}, ""remoteOfficeLocations"": [""são paulo, são paulo, brazil"", ""brazil"", ""lille, hauts-de-france, france"", ""poitiers, nouvelle-aquitaine, france"", ""normandy, france"", ""nantes, pays de la loire, france""]}"
"108753","dvag.de","2024-02-26 18:13:18.448+00","linkedin","{""jobCount"": ""43"", ""officeLocationType"": {""hybrid"": ""24"", ""remote"": ""8"", ""on-site"": ""11""}}"
"142601","viso.ai","2024-03-05 19:28:35.139+00","linkedin","{""jobCount"": ""3"", ""officeLocations"": null, ""officeLocationType"": {""remote"": ""3""}, ""remoteOfficeLocations"": [""united kingdom""]}"
"172616","integrated-worlds.com","2024-02-26 05:56:46.556+00","linkedin","{""jobCount"": ""15"", ""officeLocationType"": {""hybrid"": ""6"", ""remote"": ""2"", ""on-site"": ""7""}}"
"176141","leftfieldlabs.com","2024-03-08 15:59:25.996+00","linkedin","{""jobCount"": ""5"", ""officeLocations"": null, ""officeLocationType"": {""remote"": ""5""}, ""remoteOfficeLocations"": [""united states"", ""bandar banang jaya, johore, malaysia""]}"
